T[K],M[A/m],M^2,M^4,U_Binder,chi,C_v(tot),E,E_exc,E_lsf
10,948233.7665586789,3.46913716,12.0349161,0.666666571,0.00278754032,1.01239803,-8.57563715,-8.57563715,0.0
30,923004.3576490312,3.2869896,10.8043225,0.666665992,0.00622484547,0.908199881,-8.44829439,-8.44829439,0.0
50,899906.2986498125,3.12453642,9.762764,0.666665433,0.0064916689,1.05018535,-8.3201017,-8.3201017,0.0
70,875741.5541281564,2.958986,8.75562977,0.666665464,0.00428184095,1.05723452,-8.19104426,-8.19104426,0.0
90,853936.8175332557,2.81347174,7.91565797,0.666665204,0.00385085993,0.984763168,-8.06107342,-8.06107342,0.0
110,829439.5022114813,2.65437082,7.04578575,0.666661875,0.00973127582,0.95837755,-7.92990371,-7.92990371,0.0
130,809435.988415893,2.52789272,6.39041889,0.666657418,0.0151532753,0.981410427,-7.79764532,-7.79764532,0.0
150,785470.2925454892,2.38041691,5.66653572,0.666657782,0.0118784667,1.06659565,-7.66403008,-7.66403008,0.0
170,764497.8815156945,2.25502452,5.08551259,0.666641954,0.0277444887,1.06617792,-7.52904084,-7.52904084,0.0
190,742096.4775228009,2.12479243,4.51495735,0.666650831,0.0149290599,1.03149148,-7.39239904,-7.39239904,0.0
210,713632.4083913695,1.96494122,3.86134357,0.666636487,0.0237764768,1.00512608,-7.25407279,-7.25407279,0.0
230,690142.7787756898,1.83772749,3.37763418,0.666627989,0.0260368767,1.12601443,-7.11392259,-7.11392259,0.0
250,667597.2073137148,1.71964762,2.95772641,0.666605971,0.0352746472,1.07912938,-6.97144217,-6.97144217,0.0
270,646361.9317125843,1.61197516,2.5988529,0.666616768,0.0249999717,1.03038854,-6.82664082,-6.82664082,0.0
290,625148.6900406221,1.50790895,2.27416339,0.666611841,0.0240067761,1.23710708,-6.67897038,-6.67897038,0.0
310,598593.7223959048,1.38253608,1.91178505,0.666600565,0.0248429278,1.27127081,-6.52770741,-6.52770741,0.0
330,565329.9731494971,1.23314668,1.5209326,0.666604879,0.0194249776,1.32624314,-6.3725552,-6.3725552,0.0
350,528515.7423328885,1.07791759,1.16276167,0.666421283,0.0629725083,1.32684309,-6.21212211,-6.21212211,0.0
370,495573.980676813,0.947814687,0.899312525,0.666310517,0.0767000343,1.3861283,-6.04474228,-6.04474228,0.0
390,454235.2576365606,0.796393092,0.635268509,0.66612715,0.0924676881,1.45926373,-5.86823029,-5.86823029,0.0
410,386307.0259166491,0.576241126,0.333126986,0.665589381,0.126547604,1.51513223,-5.67637732,-5.67637732,0.0
430,224728.4366265166,0.201736958,0.0452518506,0.629366941,1.79745078,2.19964224,-5.45501427,-5.45501427,0.0
450,34069.90539690135,0.00521106998,4.39226791e-05,0.460844852,0.182773155,1.77603283,-5.22744693,-5.22744693,0.0
470,23248.692011208,0.00241985773,9.18470598e-06,0.477165381,0.0798967581,1.44689326,-5.02611193,-5.02611193,0.0
490,15353.015701346088,0.00105914268,1.7811569e-06,0.470736454,0.0342992511,1.46556687,-4.83533591,-4.83533591,0.0
510,11991.396417522777,0.000653220645,7.03058004e-07,0.450775253,0.0216683961,1.45939035,-4.6532393,-4.6532393,0.0
530,10609.68043643203,0.000508270732,4.24027376e-07,0.452880194,0.0156685038,1.36185658,-4.47672537,-4.47672537,0.0
550,8834.305757538375,0.000347633957,1.9168879e-07,0.471273501,0.00949560223,1.27633561,-4.30783153,-4.30783153,0.0
570,8282.965328640312,0.000313376008,1.63233149e-07,0.445941507,0.00958671391,1.28435672,-4.14474768,-4.14474768,0.0
590,7237.546009743225,0.000239511991,9.74247587e-08,0.433899469,0.00711862738,1.20489533,-3.98804862,-3.98804862,0.0
610,6686.848372873067,0.00020174737,6.79322163e-08,0.443661947,0.00537984487,1.20122577,-3.83776783,-3.83776783,0.0
630,6364.136585123125,0.00018354106,5.57256141e-08,0.448599521,0.00486038941,1.1063216,-3.69371692,-3.69371692,0.0
650,5934.034593221059,0.000158106443,3.97627173e-08,0.469780541,0.00384262089,1.05643965,-3.55594075,-3.55594075,0.0
670,5479.91933496935,0.000136732452,3.1173337e-08,0.444199628,0.00349738724,0.921413452,-3.42464748,-3.42464748,0.0
700,5185.339549561578,0.000122209673,2.42089091e-08,0.459690259,0.0029623966,0.897839132,-3.23883719,-3.23883719,0.0
