team_id,team,abbrv,arena,mascot,conf,location
1,Colorado Avalanche,COL,Pepsi Center,Avalanche,Western Conference - Central,"Denver, Colorado"
2,Boston Bruins,BOS,TD Garden,Bruins,Eastern Conference - Atlantic,"Boston, Massachusetts"
3,Minnesota Wild,MIN,Xcel Energy Center,Wild,Western Conference - Central,"St. Paul, Minnesota"
4,Carolina Hurricanes,CAR,PNC Arena,Hurricanes,Eastern Conference - Metropolitan,"Raleigh, North Carolina"
5,St. Louis Blues,STL,Scottrade Center,Blues,Western Conference - Central,"St. Louis, Missouri"
6,New York Rangers,NYR,Madison Square Garden,Rangers,Eastern Conference - Metropolitan,"New York, New York"
7,Washington Capitals,WSH,Verizon Center,Capitals,Eastern Conference - Metropolitan,"Washington, D.C."
8,Philadelphia Flyers,PHI,Wells Fargo Center,Flyers,Eastern Conference - Metropolitan,"Philadelphia, Pennsylvania"
9,Vancouver Canucks,VAN,Rogers Arena,Canucks,Western Conference - Pacific,"Vancouver, British Columbia"
10,Toronto Maple Leafs,TOR,Air Canada Centre,Maple Leafs,Eastern Conference - Atlantic,"Toronto, Ontario, Canada"
11,Nashville Predators,NSH,Bridgestone Arena,Predators,Western Conference - Central,"Nashville, Tennessee"
12,New Jersey Devils,NJ,Prudential Center,Devils,Eastern Conference - Metropolitan,"Newark, New Jersey"
13,Florida Panthers,FLA,BB&T Center,Panthers,Eastern Conference - Atlantic,"Sunrise, Florida"
14,Chicago Blackhawks,CHI,United Center,Blackhawks,Western Conference - Central,"Chicago, Illinois"
15,Winnipeg Jets,WPG,MTS Centre,Jets,Western Conference - Central,"Winnipeg, Manitoba, Canada"
16,Buffalo Sabres,BUF,First Niagara Center,Sabres,Eastern Conference - Atlantic,Buffalo New York
17,Dallas Stars,DAL,American Airlines Center,Stars,Western Conference - Central,"Dallas, Texas"
18,Edmonton Oilers,EDM,Rexall Place,Oilers,Western Conference - Pacific,"Edmonton, Alberta, Canada"
19,Arizona Coyotes,ARI,Gila River Arena,Coyotes,Western Conference - Pacific,"Glendale, Arizona"
20,New York Islanders,NYI,Barclays Center,Islanders,Eastern Conference - Metropolitan,"New York, New York"
21,Tampa Bay Lightning,TB,Amalie Arena,Lightning,Eastern Conference - Atlantic,"Tampa Bay, Florida"
22,Los Angeles Kings,LA,Staples Center,Kings,Western Conference - Pacific,"Los Angeles, California"
23,Montreal Canadiens,MTL,Bell Centre,Canadiens,Eastern Conference - Atlantic,"Montreal, Quebec, Canada"
24,Pittsburgh Penguins,PIT,Consol Energy Center,Penguins,Eastern Conference - Metropolitan,"Pittsburgh, Pennsylvania"
25,Anaheim Ducks,ANA,Honda Center,Ducks,Western Conference - Pacific,"Anaheim, California"
26,Calgary Flames,CGY,Scotiabank Saddledome,Flames,Western Conference - Pacific,"Calgary, Alberta, Canada"
27,Columbus Blue Jackets,CBJ,Nationwide Arena,Blue Jackets,Eastern Conference - Metropolitan,"Columbus, Ohio"
28,San Jose Sharks,SJ,SAP Center,Sharks,Western Conference - Pacific,"San Jose, California"
29,Detroit Red Wings,DET,Joe Louis Arena,Red Wings,Eastern Conference - Atlantic,"Detroit, Michigan"
30,Ottawa Senators,OTT,Canadian Tire Centre,Senators,Eastern Conference - Atlantic,"Ottawa, Ontario, Canada"
31,Vegas Golden Knights,VGK,T-Mobile Arena,Golden Knights,Western Conference - Pacific,"Paradise, Nevada"
32,Seattle Kraken,SEA,Climate Pledge Arena,Kraken,Western Conference - Pacific,"Seattle, Washington"
